iter	MultiClass
319	0.3569734957
320	0.3563530729
321	0.3558938235
322	0.3556006675
323	0.3552019504
324	0.354662541
325	0.3544657728
326	0.3542396605
327	0.3539403633
328	0.353443205
329	0.3529729659
330	0.3524999231
331	0.3519797816
332	0.3513667291
333	0.3509319437
334	0.3504589784
335	0.349831829
336	0.349255451
337	0.3487678437
338	0.3484868635
339	0.3480928788
340	0.3475050758
341	0.3472767939
342	0.3468144854
343	0.3463293494
344	0.3460376444
345	0.3455421121
346	0.3453279836
347	0.3448552012
348	0.3444306602
349	0.3439645917
350	0.34350143
351	0.3432451978
352	0.3427801575
353	0.3422916215
354	0.3418365005
355	0.3415799853
356	0.3413153973
357	0.3410883988
358	0.3406822438
359	0.3402659237
360	0.3397258143
361	0.3392652658
362	0.3390084619
363	0.3386292297
364	0.3384089648
365	0.3379784641
366	0.3374898027
367	0.3369534976
368	0.3367660565
369	0.3363188331
370	0.3358860393
371	0.3353954182
372	0.3351679907
373	0.3347709196
374	0.3345511357
375	0.3341957321
376	0.3337999759
377	0.3334098873
378	0.3329671214
379	0.332598913
380	0.3322222223
381	0.3318878233
382	0.3315042847
383	0.3312934016
384	0.3310834557
385	0.3307264332
386	0.3305380955
387	0.3303523095
388	0.329954024
389	0.3297094601
390	0.3295333977
391	0.3293376307
392	0.3290599547
393	0.328685911
394	0.328325389
395	0.3279626317
396	0.327525472
397	0.3271230492
398	0.3268421683
399	0.3263950878
400	0.3260269731
401	0.3258556305
402	0.3256720384
403	0.3252637404
404	0.3250772664
405	0.3247096934
406	0.324527138
407	0.3241069555
408	0.3237952317
409	0.3236583339
410	0.3232782968
411	0.3230959684
412	0.3229652394
413	0.3227323454
414	0.3224934232
415	0.3221063315
416	0.3218670856
417	0.3215979292
418	0.3213197919
419	0.3210751968
420	0.3207926735
421	0.3204920302
422	0.3203421586
423	0.3199739249
424	0.3196656362
425	0.3194221033
426	0.3191225144
427	0.3190046619
428	0.318774364
429	0.318560662
430	0.3183578592
431	0.3180042673
432	0.3178632862
433	0.3175699601
434	0.3174021537
435	0.3171226876
436	0.3169898598
437	0.3166976585
438	0.3164370219
439	0.3162833465
440	0.3161184482
441	0.3159386135
442	0.3157717653
443	0.3155359602
444	0.3151781346
445	0.3150013556
446	0.3148742023
447	0.3147318063
448	0.3144820448
449	0.3142184768
450	0.3139833795
451	0.3137926684
452	0.3135219264
453	0.3133852713
454	0.3131654167
455	0.31281198
456	0.3125268414
457	0.3122155766
458	0.3120782016
459	0.311947954
460	0.3117235388
461	0.3114529001
462	0.3112476339
463	0.3110424999
464	0.3108301026
465	0.3106923833
466	0.3105733588
467	0.3104884148
468	0.3101963044
469	0.3098645935
470	0.3096955437
471	0.3095799493
472	0.3094766381
473	0.3091986121
474	0.3090417275
475	0.3087950489
476	0.3086952775
477	0.308467816
478	0.3082374641
479	0.3080369344
480	0.3079494491
481	0.3076835326
482	0.3075595242
483	0.3073549985
484	0.3072830143
485	0.3071517776
486	0.3068936935
487	0.3067814712
488	0.3065611458
489	0.3063396885
490	0.3060987137
491	0.3059500144
492	0.305843903
493	0.305747973
494	0.305592665
495	0.3053608534
496	0.305160105
497	0.3049133557
498	0.3047429937
499	0.3044871898
500	0.3044016882
501	0.3041543394
502	0.3038834073
503	0.3037089691
504	0.3034763923
505	0.3032422302
506	0.3030331879
507	0.3028545638
508	0.3027393176
509	0.3026188554
510	0.3024143713
511	0.3022086726
512	0.3020150686
513	0.3018786631
514	0.3017079762
515	0.3016182068
516	0.3014201883
517	0.301357359
518	0.3011420769
519	0.3010366593
520	0.3009607933
521	0.3008518704
522	0.3006962865
523	0.3005239154
524	0.3003371206
525	0.3001193482
526	0.300031024
527	0.2998410888
528	0.29975067
529	0.2995400133
530	0.2994311993
531	0.2992455397
532	0.2990840406
533	0.2988881398
534	0.2987436934
535	0.2985595969
536	0.2983820027
537	0.2981768841
538	0.298047555
539	0.2979480431
540	0.2978466246
541	0.2977441651
542	0.2976399936
543	0.2974646188
544	0.2973093691
545	0.2971409451
546	0.2969323422
547	0.2968011843
548	0.2965724611
549	0.2964776139
550	0.2963597858
551	0.2962083628
552	0.296064927
553	0.2959684668
554	0.2958127194
555	0.2956711487
556	0.2955019933
557	0.2954257907
558	0.2953398313
559	0.2952417766
560	0.2951449393
561	0.2949274377
562	0.2947249405
563	0.2946482163
564	0.294535297
